name,supplier_primary_email,supplier_secondary_email,supplier_type,supplier_business_name,supplier_business_register_no,contact_no,address,description,supplier_website,supplier_tel_no,supplier_mobile,supplier_fax,supplier_city,supplier_location_latitude,supplier_location_longitude,email,asset_categories
"Lyons, Lewis and Davis",walterbrooks.primary@yahoo.com,walterbrooks.secondary@yahoo.com,Company,"Lyons, Lewis and Davis",BR455899828,001-617-526-8951x6754,"890 Jeffrey Mill Suite 328, Kelseytown, DE 83853",Object-based regional service-desk,https://morales.net,115.842.6171x6316,866-206-9921x5800,+1-787-214-5423x259,West Ashley,31.0890565,-82.894553,walterbrooks@yahoo.com,IT Equipment
Mahoney-Dunlap,cmoran.primary@yahoo.com,cmoran.secondary@yahoo.com,Company,Mahoney-Dunlap,BR215426981,001-926-138-1976,"588 Anita Well, Scottfort, MA 20702",Decentralized bi-directional Graphic Interface,https://parker.info,760990856,+1-680-189-7428,+1-709-346-9484,West Brittany,13.2871225,-157.796147,cmoran@yahoo.com,Stationery
Jones-Williams,jacobrojas.primary@hotmail.com,jacobrojas.secondary@hotmail.com,Company,Jones-Williams,BR542963294,9106645699,"850 Rebecca Underpass, Joshuamouth, MD 88826",Virtual even-keeled toolset,https://khan.com,291-206-6446x7632,261.879.8988,+1-695-100-3909x92458,Mariashire,-81.726945,-10.051808,jacobrojas@hotmail.com,Electronics
Carter and Sons,daltonadam.primary@gmail.com,daltonadam.secondary@gmail.com,Company,Carter and Sons,BR225538480,312-441-9505,"2338 Kristopher Isle, Kellerchester, AK 25585",Phased mobile alliance,https://soto.info,001-820-577-0377x53445,+1-099-574-1266,+1-165-263-1383,East Wandaport,21.0750375,-158.855543,daltonadam@gmail.com,Electronics
Hayes-Greene,ruth58.primary@gmail.com,ruth58.secondary@gmail.com,Company,Hayes-Greene,BR750530432,(378)675-4308x495,"5702 Michael Meadows Apt. 032, North Monique, VT 18409",Decentralized 4thgeneration neural-net,https://mathews.com,001-251-007-5698x6363,001-318-783-0265,603.664.6484x0037,Keithchester,59.54229,-142.29466,ruth58@gmail.com,Stationery
Luis Morales,margaret29.primary@gmail.com,margaret29.secondary@gmail.com,Individual,"Lopez, Burnett and Mercer",BR100153052,567.020.8618,"09726 Humphrey Haven Apt. 078, Malonetown, OR 40834",Function-based leadingedge extranet,https://morgan.com,(403)558-1527x5651,(279)937-6981,001-972-679-6280,Moralesbury,87.3622265,74.664967,margaret29@gmail.com,Machinery
Atkinson-Simmons,crystalmayer.primary@gmail.com,crystalmayer.secondary@gmail.com,Company,Atkinson-Simmons,BR345779021,068-850-4563,"643 Gonzales Loaf Suite 033, Wardtown, WV 33607",Implemented zero tolerance data-warehouse,https://rivera.biz,001-587-501-4991x9925,138.093.6827,467-523-2403x17234,Swansonland,37.9623585,-4.248733,crystalmayer@gmail.com,Electronics
Keith Evans,michaelcook.primary@gmail.com,michaelcook.secondary@gmail.com,Individual,Harrell and Sons,BR285433436,3327813790,"125 Brianna Grove Suite 264, Johnsonmouth, OK 85146",Progressive logistical hierarchy,https://hull.net,544-509-2016x65120,+1-340-344-1410x816,680-438-6239x63957,East Tinaton,-87.529661,147.546589,michaelcook@gmail.com,Machinery
Perry-Nelson,jameslarson.primary@hotmail.com,jameslarson.secondary@hotmail.com,Company,Perry-Nelson,BR616932925,721.351.1041x743,"101 Brown Stravenue, Pamelaview, MN 19514",Object-based needs-based Graphical User Interface,https://barnes.info,(873)800-3208,9824944394,269-445-6666x276,Harperborough,18.723809,-68.886366,jameslarson@hotmail.com,Electronics
Laura Ortiz,ephillips.primary@hotmail.com,ephillips.secondary@hotmail.com,Individual,Howard Inc,BR634645278,646.786.0022x971,"15342 Anne Circles, Jonathanshire, IN 57445",Advanced coherent collaboration,https://davidson-mcdaniel.info,(639)377-0297,416-548-1454,001-594-772-0051x3921,Cherylview,-41.0179785,-103.918298,ephillips@hotmail.com,Electronics
Michael Stark,thomas23.primary@yahoo.com,thomas23.secondary@yahoo.com,Individual,Garcia-Martin,BR404952059,(965)136-0525x1002,"938 Proctor Station Apt. 844, Lake Cameron, OK 12790",Mandatory scalable moratorium,https://powell.info,(119)694-3760,001-242-435-2703,+1-854-601-9992x7706,Randyburgh,-11.679392,-11.823149,thomas23@yahoo.com,Furniture
"Jones, Grimes and Wang",newmanhunter.primary@yahoo.com,newmanhunter.secondary@yahoo.com,Company,"Jones, Grimes and Wang",BR203305812,260.854.9411,"USNV Kent, FPO AA 97582",Distributed even-keeled Graphic Interface,https://butler.com,3658023825,(117)723-0055x23944,7780765636,Heathermouth,66.051975,102.686898,newmanhunter@yahoo.com,Electronics
Mcdonald-Church,jonathan51.primary@hotmail.com,jonathan51.secondary@hotmail.com,Company,Mcdonald-Church,BR555152652,998527409,"PSC 4812, Box 1287, APO AE 74869",Integrated scalable architecture,https://vaughn.com,654-959-3435x99775,111-387-7139x7271,+1-914-866-8298x4523,Whitneyland,2.9637225,-168.636657,jonathan51@hotmail.com,Electronics
Bridget Chavez,blutz.primary@yahoo.com,blutz.secondary@yahoo.com,Individual,"Cook, Allen and Cox",BR548590338,695-724-4788,"9653 Donna Shoals Suite 647, Nicholasburgh, MD 17407",Synergized fault-tolerant database,https://marks.info,001-959-809-1960,001-477-895-2053x9178,(311)582-7195x2986,New Nicholas,51.436351,-106.04576,blutz@yahoo.com,Stationery
Alvarez-Rodriguez,wmiller.primary@hotmail.com,wmiller.secondary@hotmail.com,Company,Alvarez-Rodriguez,BR173230641,+1-446-668-5133,"5716 Wade Viaduct, North Leahborough, NV 26594",Universal exuding firmware,https://stone.com,+1-754-082-5674x966,(528)676-1770x133,(650)221-1836x39164,Porterberg,-57.0313,86.421551,wmiller@hotmail.com,IT Equipment
Lisa Benson,csmith.primary@yahoo.com,csmith.secondary@yahoo.com,Individual,Rivers-Perez,BR767494088,870-903-2160,"54362 Miller Falls, New Ross, VT 72919",Fully-configurable modular contingency,https://peterson-crane.biz,793-014-4038x844,+1-533-989-4233x18665,001-875-831-2170,South Dorothy,11.5453155,-148.757235,csmith@yahoo.com,Electronics
Thompson-Arnold,robertsonandrea.primary@gmail.com,robertsonandrea.secondary@gmail.com,Company,Thompson-Arnold,BR478882053,001-122-796-7401x139,"42589 Trevor Estates Suite 320, Evanschester, MS 37370",Progressive system-worthy knowledgebase,https://shaw.net,936-401-4042,651-788-7064x226,(539)240-1860x94623,Jeffside,-55.4248605,89.401743,robertsonandrea@gmail.com,Electronics
Andrade-Thompson,fsoto.primary@gmail.com,fsoto.secondary@gmail.com,Company,Andrade-Thompson,BR960099409,+1-289-476-4615,"097 Jeremy Road Suite 268, East Erinville, TX 85234",Cross-platform eco-centric functionalities,https://flores-martin.org,226-002-2877x5796,746-747-2015x696,(082)597-9210x90795,Mccarthyport,-11.9977795,-88.657748,fsoto@gmail.com,Electronics
Jean West,jthornton.primary@gmail.com,jthornton.secondary@gmail.com,Individual,"Vargas, Bailey and Hill",BR517863425,136-652-8539x6132,"10573 Ingram Glens, Goodwinhaven, SD 20565",Business-focused coherent analyzer,https://faulkner.org,908-353-4723x229,+1-750-524-9542x682,(448)996-2030,South Stephanieborough,73.720566,-95.72069,jthornton@gmail.com,IT Equipment
Mr. Joseph Johnson,tsoto.primary@hotmail.com,tsoto.secondary@hotmail.com,Individual,Smith Inc,BR764907427,+1-623-500-7010x2850,"020 Blake Drives Suite 919, Carrollport, NC 26753",Sharable holistic utilization,https://trujillo-barnes.com,(250)325-7987x490,+1-075-467-1211x4427,991-340-3137,Charlesport,4.2547015,-35.591349,tsoto@hotmail.com,Electronics
Susan Morrison,wwilliams.primary@yahoo.com,wwilliams.secondary@yahoo.com,Individual,Porter Inc,BR645931952,010.298.1317,"434 Bell Grove, Janicefurt, NE 35889",Devolved bottom-line standardization,https://chan.com,+1-618-633-5545x28417,+1-308-820-6707,(887)335-2569x57149,Spencefurt,74.988823,-7.504871,wwilliams@yahoo.com,Furniture
Linda Lopez,grichardson.primary@yahoo.com,grichardson.secondary@yahoo.com,Individual,"Brown, Garcia and Snyder",BR898197476,191.129.1583x48096,"496 Jason Islands, Myersberg, VT 86850",Monitored national interface,https://thomas.com,001-308-305-7816,066.468.9692,(314)419-7139,Krystalview,67.613985,125.736829,grichardson@yahoo.com,Furniture
"Berry, Johnson and Luna",edwardphillips.primary@hotmail.com,edwardphillips.secondary@hotmail.com,Company,"Berry, Johnson and Luna",BR168027645,6344176111,"99637 Nichole View, Thorntonbury, OH 26095",Monitored intangible hierarchy,https://rivera-ellis.biz,85869495,(149)199-4417,+1-297-285-5373x139,Port Jacqueline,-46.708625,-178.34948,edwardphillips@hotmail.com,Electronics
Norman Campos,anthonymullins.primary@gmail.com,anthonymullins.secondary@gmail.com,Individual,Estrada-Mccarthy,BR729568529,(374)688-6328x350,"41221 Kathy Tunnel Apt. 373, Mcguireborough, LA 11482",Extended incremental groupware,https://johnson.com,525-627-9447x66667,001-753-872-8309x783,125-933-9248x22203,New Davidshire,-60.4556185,-143.300051,anthonymullins@gmail.com,IT Equipment
Ronald Martin,michellewhite.primary@gmail.com,michellewhite.secondary@gmail.com,Individual,"Barnes, Huynh and Bryant",BR702341556,+1-719-927-5273x4148,"46789 Jane Divide, Collinsland, KY 42171",Cloned real-time application,https://smith.com,001-061-912-2079x825,755-851-0542x944,001-010-245-7760x064,Burnsbury,14.4307435,161.863625,michellewhite@gmail.com,Stationery
"Ramos, Hernandez and Lawson",andreamason.primary@yahoo.com,andreamason.secondary@yahoo.com,Company,"Ramos, Hernandez and Lawson",BR572105526,352.999.3043,"42561 Aguilar Track, Ericton, WY 35487",Front-line intangible help-desk,https://nelson.com,3405535987,(057)177-5918x100,752.245.9834,Port Davidhaven,-9.3288515,-156.582204,andreamason@yahoo.com,Electronics
Jason Jackson,rose73.primary@yahoo.com,rose73.secondary@yahoo.com,Individual,Freeman-Johnson,BR139595835,(928)040-9656x21352,"6906 Davis Wall, East Christinamouth, MD 09096",Secured composite installation,https://cole.com,+1-630-320-7119,(534)322-9336,001-774-904-8397,Michaelport,-78.8373335,-13.066304,rose73@yahoo.com,Machinery
Jennifer Lane,gpowers.primary@hotmail.com,gpowers.secondary@hotmail.com,Individual,Davis-Rush,BR373726560,+1-244-162-7149x0973,"34466 Jerry Parkway Apt. 506, Port Kayla, CA 89558",Fundamental composite collaboration,https://cox.net,001-903-279-9435x86673,(638)224-5705x650,649.636.6829,West James,-27.7823495,154.623302,gpowers@hotmail.com,Machinery
Robert Jones,bradley77.primary@hotmail.com,bradley77.secondary@hotmail.com,Individual,Ellis Ltd,BR567635586,668-416-9444x090,"066 Kim Freeway Suite 206, East Patriciaville, TX 09367",Reverse-engineered 24hour toolset,https://willis.com,+1-965-574-6012x8561,511-575-5918,029-932-5782x9587,Anthonyview,74.2523725,-32.226446,bradley77@hotmail.com,Machinery
Yang Inc,robertjimenez.primary@yahoo.com,robertjimenez.secondary@yahoo.com,Company,Yang Inc,BR755671693,(766)999-2528x4728,"90427 Mackenzie Orchard, South Tyler, ND 33413",Cross-group full-range website,https://coleman.com,5434325280,001-173-457-0588x7002,(140)760-4301,South Jeffreymouth,85.424697,101.227597,robertjimenez@yahoo.com,IT Equipment
David Arroyo,jennifer16.primary@gmail.com,jennifer16.secondary@gmail.com,Individual,Bennett-Mccarthy,BR631759096,710.553.4478x2129,"3212 Edwards Ford Suite 257, New Richardside, KS 26992",Pre-emptive 24/7 Internet solution,https://ramsey.info,+1-611-734-1489x8458,(755)458-3581x31323,001-527-325-5198x370,Melissatown,-8.874019,131.441236,jennifer16@gmail.com,Stationery
"Tucker, Dean and Hatfield",anthonydodson.primary@hotmail.com,anthonydodson.secondary@hotmail.com,Company,"Tucker, Dean and Hatfield",BR493499166,9937673155,"20430 Keith Village, Riverastad, TX 50021",Multi-layered needs-based architecture,https://reynolds-fischer.com,+1-193-356-1420,656.064.8190x88519,001-725-341-9483x35463,Port Jacobstad,8.465442,-140.196781,anthonydodson@hotmail.com,Machinery
Perkins-Mitchell,zpatel.primary@hotmail.com,zpatel.secondary@hotmail.com,Company,Perkins-Mitchell,BR620338140,512.346.3187x567,"Unit 7719 Box 8589, DPO AE 10589",Organic didactic model,https://nichols.biz,077.341.9355,(067)045-5882,(177)991-7430,Port James,-8.1613365,-153.946355,zpatel@hotmail.com,Furniture
Daniel Jones,rosejones.primary@hotmail.com,rosejones.secondary@hotmail.com,Individual,Moses and Sons,BR545339227,9491842638,"0935 Lisa Cove Suite 318, Hooverview, AR 00753",Right-sized upward-trending middleware,https://coleman.org,001-106-745-1172x979,433.370.4098x8317,1803622840,Andrewport,-24.063657,156.555516,rosejones@hotmail.com,Stationery
Scott Robbins,robertharrington.primary@yahoo.com,robertharrington.secondary@yahoo.com,Individual,Pham Ltd,BR885488992,001-517-793-5706x67907,"36833 Melissa Villages, Port William, SC 69957",Business-focused 24/7 system engine,https://hale-flowers.com,+1-189-707-5424x61649,373.409.4275x89561,050.102.7520,Oscarburgh,-6.05164,-129.01914,robertharrington@yahoo.com,Furniture
Myers-West,uschaefer.primary@gmail.com,uschaefer.secondary@gmail.com,Company,Myers-West,BR620010100,+1-474-348-6366x717,"915 Zachary Garden Suite 666, South Michael, ME 96815",Adaptive fresh-thinking functionalities,https://kelly-le.com,(355)090-1240x767,001-428-091-7421,001-909-939-6007x416,West Roberto,19.5849745,-172.813531,uschaefer@gmail.com,Machinery
Nicholas Hernandez,dwest.primary@gmail.com,dwest.secondary@gmail.com,Individual,Johnson-Reyes,BR883896155,(221)312-1544,"190 Patrick Springs, Lake Ashley, OK 32961",Enhanced static installation,https://heath.com,576.715.7151x29301,+1-560-972-0047x099,379-838-8448,East Stephenchester,33.1729405,76.751727,dwest@gmail.com,Stationery
Joseph Santos,pachecotimothy.primary@hotmail.com,pachecotimothy.secondary@hotmail.com,Individual,Bonilla-Villegas,BR551496953,404-214-0504,"2658 Ware Pike, Port Josephland, CO 83042",Cross-group interactive pricing structure,https://williams-yu.org,476-469-9232,+1-888-692-6041x53589,001-016-668-6197x7155,West April,-40.5061635,-88.913984,pachecotimothy@hotmail.com,Furniture
Ernest Leon,jcastaneda.primary@yahoo.com,jcastaneda.secondary@yahoo.com,Individual,Hall LLC,BR856593664,001-192-322-1165x3032,"48024 James Court Apt. 275, Boydberg, MO 58665",Implemented modular database,https://patrick-mercer.com,001-514-597-4344,(722)871-6163x540,(183)774-7762x1569,Eatonland,-85.193182,152.107796,jcastaneda@yahoo.com,IT Equipment
David Byrd,courtneyjefferson.primary@yahoo.com,courtneyjefferson.secondary@yahoo.com,Individual,Rodgers LLC,BR528280861,(246)424-9307x3034,"Unit 2728 Box 3863, DPO AE 82057",Quality-focused bandwidth-monitored approach,https://clark.com,019.418.5383,001-332-927-7252x672,8615993759,Richardberg,-25.5357745,-137.821857,courtneyjefferson@yahoo.com,Electronics
Breanna Cox,andresbarajas.primary@gmail.com,andresbarajas.secondary@gmail.com,Individual,"Mullen, Guerra and Ortega",BR979215128,3203783728,"20719 Ashley Valley Apt. 061, Powellside, SC 38645",Object-based radical data-warehouse,https://snyder.net,+1-547-368-8204x024,369-547-5182x4496,549.009.4266x9764,South Angelaland,31.826412,-73.521235,andresbarajas@gmail.com,Furniture
Anderson-Spears,melissapayne.primary@hotmail.com,melissapayne.secondary@hotmail.com,Company,Anderson-Spears,BR238852824,001-467-757-5061x147,"568 David Stream, Port Kaitlynport, WY 56274",Synchronized 24hour productivity,https://shannon.biz,102-731-7035x63660,001-717-290-8322x0678,306.648.9345,North Rachelfurt,-27.8982415,96.251118,melissapayne@hotmail.com,IT Equipment
Morrow Inc,elizabeth00.primary@yahoo.com,elizabeth00.secondary@yahoo.com,Company,Morrow Inc,BR378477035,269-670-3444x859,"59307 Miranda Turnpike Apt. 124, South Craigport, SC 36868",Persevering bottom-line software,https://blake.biz,+1-684-434-6585x78840,694.594.5948x754,001-347-139-8155x904,Jamesmouth,-69.2108745,-20.461603,elizabeth00@yahoo.com,Electronics
Little-Daniels,stonetiffany.primary@yahoo.com,stonetiffany.secondary@yahoo.com,Company,Little-Daniels,BR919462363,(644)539-2602x643,"712 Pamela Isle, Millermouth, NC 18582",Integrated responsive throughput,https://shepard-miller.com,+1-099-679-0517x7841,856.088.2724,642.886.2232x1811,East Emmabury,-88.2747285,-107.501068,stonetiffany@yahoo.com,Electronics
Kelsey English,alexbaker.primary@gmail.com,alexbaker.secondary@gmail.com,Individual,Reynolds PLC,BR593192616,233.402.0567x467,"210 Dylan Shores Suite 478, South Jacobfurt, WI 39194",Cross-platform maximized superstructure,https://moore.com,106-019-2148,001-696-030-5906x0490,527-021-0629x41426,Davisview,-46.7641505,-63.518189,alexbaker@gmail.com,Furniture
"Ross, Porter and Mcfarland",lydiagreene.primary@yahoo.com,lydiagreene.secondary@yahoo.com,Company,"Ross, Porter and Mcfarland",BR124033705,(637)921-2796x95000,"5918 Bentley Gateway Suite 392, Aaronmouth, CO 20773",User-friendly optimal protocol,https://woods-powell.com,+1-582-371-1158,(677)765-2042x12386,(682)722-4882x18319,Smithton,26.884451,101.237372,lydiagreene@yahoo.com,Stationery
Smith-Wallace,meganallen.primary@yahoo.com,meganallen.secondary@yahoo.com,Company,Smith-Wallace,BR245977088,116-211-0500,"5813 James Viaduct Apt. 652, Lake Anthony, WY 78123",Organized well-modulated synergy,https://cook-watson.com,+1-514-344-1403x5684,6435206240,(500)251-3838,North Kaylaside,10.7824045,-172.075514,meganallen@yahoo.com,Stationery
Jennifer Jackson DVM,jamesadkins.primary@gmail.com,jamesadkins.secondary@gmail.com,Individual,Watkins LLC,BR586770675,112-559-1205x160,"990 Rangel Cliff Apt. 018, Bookerburgh, KY 07274",Digitized foreground middleware,https://sanchez-dean.com,806-370-0151x5837,126-767-4974,454.457.5565,Paulfort,-43.178394,15.741069,jamesadkins@gmail.com,Furniture
Michael Stanley,erikconner.primary@yahoo.com,erikconner.secondary@yahoo.com,Individual,"Wade, Ramirez and Cruz",BR209128875,001-503-229-9340x85559,"517 Tammy Summit, Laraport, AR 01589",Centralized eco-centric superstructure,https://jenkins-oliver.info,+1-389-558-7129x1939,(447)097-2534x71234,654.033.4607x72021,Jenniferview,82.4274595,-144.665939,erikconner@yahoo.com,Stationery
"Foster, Marks and Stephens",amanda02.primary@gmail.com,amanda02.secondary@gmail.com,Company,"Foster, Marks and Stephens",BR676257417,593-594-9240x91789,"904 Dana Crest Suite 680, Kimton, PA 83609",Universal optimizing support,https://campbell-lucas.com,001-632-344-3234x80506,+1-877-992-8682x003,5841417575,Ellisbury,57.8471785,141.082802,amanda02@gmail.com,Furniture
Sampson PLC,rbailey.primary@yahoo.com,rbailey.secondary@yahoo.com,Company,Sampson PLC,BR163200409,(022)780-9635,"06040 Dylan Cape Suite 520, Jacobberg, OR 46335",Total regional moratorium,https://davis.net,+1-524-452-5971x058,342.125.6041x85132,(676)792-7479,North Morgantown,15.9319285,60.675906,rbailey@yahoo.com,IT Equipment
Kendra Cook,william53.primary@hotmail.com,william53.secondary@hotmail.com,Individual,"Lawrence, Johnson and Gonzalez",BR423769326,980.008.1302x687,"70161 Kim Lights, Donnaside, OH 06540",Innovative tangible challenge,https://dalton-davis.com,936.781.6368x4943,001-844-007-9910,655.237.4309,Atkinsport,-65.125702,145.515622,william53@hotmail.com,Furniture
Lamb-King,susan12.primary@yahoo.com,susan12.secondary@yahoo.com,Company,Lamb-King,BR269500138,(790)240-5291x7246,"685 Davis Trafficway Apt. 230, New Danieltown, SC 39277",Sharable motivating throughput,https://perez.com,(136)227-3519,054.771.7932x8060,001-606-123-4779x80697,Mcgrathfort,-48.2726625,114.016878,susan12@yahoo.com,IT Equipment
Stephen Larson,sarah55.primary@hotmail.com,sarah55.secondary@hotmail.com,Individual,"Barnes, Garza and Adams",BR492602066,314.569.2762x9372,"313 Richardson Knoll, Port Olivialand, VT 02042",Reactive composite application,https://walls.org,+1-674-374-2638x34910,090.721.3593x3490,5179196311,Courtneyside,-60.423468,-117.374442,sarah55@hotmail.com,Furniture
Tina Bell,hawkinsgeorge.primary@hotmail.com,hawkinsgeorge.secondary@hotmail.com,Individual,"Prince, Adams and Weber",BR495561999,+1-489-133-6654x403,"87423 Amy Track, South Dylan, WY 10299",Robust client-driven frame,https://strickland.com,+1-384-556-7193x4522,503.291.3138,695-694-1398x754,South Nicolefort,21.35846,-131.089402,hawkinsgeorge@hotmail.com,Furniture
Martinez Ltd,loribrown.primary@gmail.com,loribrown.secondary@gmail.com,Company,Martinez Ltd,BR637843628,571.092.7821x58791,"47652 Lisa Island, Freemanbury, CA 36166",Networked global model,https://cook.com,741.170.3175x18857,(518)544-9535,001-909-277-6025,South Ericaside,57.808145,167.045082,loribrown@gmail.com,Stationery
Heather Whitaker,ytaylor.primary@hotmail.com,ytaylor.secondary@hotmail.com,Individual,Davis Group,BR798664112,800-008-3550,"2488 Mercer Route Suite 967, Lake Masonmouth, VT 18149",Multi-channeled well-modulated focus group,https://mcconnell-berger.biz,001-366-935-6539x902,(543)384-5818x26904,390.723.5345,Port Troy,56.55731,64.635455,ytaylor@hotmail.com,Electronics
